NDAQ,"Nasdaq, Inc.",50.32B,88.98,2.58%,5.42B
VST,Vistra Corp.,49.91B,148.02,1.12%,19.45B
FITB,Fifth Third Bancorp,49.60B,54.73,2.45%,9.00B
XEL,Xcel Energy Inc.,49.45B,79.22,1.21%,14.78B
EW,Edwards Lifesciences Corporation,49.01B,85.11,-0.76%,6.30B
EBAY,eBay Inc.,48.22B,108.61,-0.91%,11.60B
EXC,Exelon Corporation,47.28B,46.21,1.54%,24.79B
STT,State Street Corporation,46.39B,167.63,1.69%,14.39B
GRMN,Garmin Ltd.,45.92B,238.10,-0.20%,7.46B
ON,ON Semiconductor Corporation,45.77B,116.79,0.72%,6.06B
HUM,Humana Inc.,45.53B,379.22,2.86%,137.20B
WAB,Westinghouse Air Brake Technologies Corporation,45.00B,265.20,1.19%,11.51B
ARES,Ares Management Corporation,44.50B,134.90,1.57%,5.91B
IDXX,"IDEXX Laboratories, Inc.",44.24B,560.88,0.53%,4.45B
DHI,"D.R. Horton, Inc.",43.70B,154.09,-0.22%,33.35B
MSCI,MSCI Inc.,43.62B,599.12,0.81%,3.24B
KDP,Keurig Dr Pepper Inc.,43.14B,31.71,1.54%,16.94B
YUM,"Yum! Brands, Inc.",42.53B,154.31,0.68%,8.49B
COIN,"Coinbase Global, Inc.",42.10B,159.78,-0.41%,6.29B
ADSK,"Autodesk, Inc.",41.90B,198.43,-3.47%,7.51B
XYZ,"Block, Inc.",41.76B,69.52,0.62%,24.48B
VTR,"Ventas, Inc.",41.42B,84.60,0.85%,6.11B
CMG,"Chipotle Mexican Grill, Inc.",41.34B,32.23,3.14%,12.14B
AMP,"Ameriprise Financial, Inc.",41.27B,459.13,1.94%,19.32B
STLD,"Steel Dynamics, Inc.",40.78B,282.76,1.15%,19.01B
JBL,Jabil Inc.,40.60B,384.82,2.10%,32.67B
IBKR,"Interactive Brokers Group, Inc.",40.45B,90.81,2.23%,6.45B
CCL,Carnival Corporation Ltd.,40.36B,29.18,3.77%,26.98B
BDX,"Becton, Dickinson and Company",40.30B,146.24,-0.75%,22.23B
CCI,Crown Castle Inc.,40.22B,92.16,0.13%,4.21B
AIG,"American International Group, Inc.",40.16B,75.74,0.56%,26.70B
LYV,"Live Nation Entertainment, Inc.",40.15B,172.51,0.10%,25.61B
PEG,Public Service Enterprise Group Incorporated,39.72B,79.70,1.17%,12.79B
ED,"Consolidated Edison, Inc.",39.71B,107.74,0.84%,17.22B
KR,The Kroger Co.,39.64B,64.71,0.92%,147.64B
TTWO,"Take-Two Interactive Software, Inc.",39.31B,211.75,-0.16%,6.66B
CBRE,"CBRE Group, Inc.",39.06B,133.41,1.14%,42.20B
TKO,"TKO Group Holdings, Inc.",38.87B,203.36,-4.84%,5.06B
ADM,Archer-Daniels-Midland Company,38.67B,80.24,1.70%,80.58B
SYY,Sysco Corporation,37.87B,79.19,-0.57%,83.57B
IRM,Iron Mountain Incorporated,37.86B,127.24,1.65%,7.25B
PRU,"Prudential Financial, Inc.",37.68B,108.50,1.87%,63.29B
UAL,"United Airlines Holdings, Inc.",37.49B,115.52,2.58%,60.47B
PCG,PG&E Corporation,37.33B,16.95,0.95%,25.83B
VMC,Vulcan Materials Company,37.17B,286.47,2.24%,8.06B
WEC,"WEC Energy Group, Inc.",36.95B,113.44,0.33%,10.08B
HSY,The Hershey Company,36.85B,181.66,0.45%,11.99B
A,"Agilent Technologies, Inc.",36.67B,129.84,0.22%,7.23B
PYPL,"PayPal Holdings, Inc.",36.63B,41.53,0.70%,33.73B
EME,"EMCOR Group, Inc.",36.58B,823.05,1.42%,17.75B
PAYX,"Paychex, Inc.",36.05B,100.63,1.37%,6.33B
AXON,"Axon Enterprise, Inc.",35.60B,441.73,-1.00%,2.98B
HIG,"The Hartford Insurance Group, Inc.",35.53B,129.62,0.95%,28.79B
HBAN,Huntington Bancshares Incorporated,35.52B,17.52,1.80%,8.30B
WAT,Waters Corporation,34.91B,355.53,-1.17%,3.77B
KVUE,Kenvue Inc.,34.83B,18.14,0.39%,15.29B
MLM,"Martin Marietta Materials, Inc.",34.67B,577.33,2.08%,6.35B
MTB,M&T Bank Corporation,33.96B,231.88,1.78%,9.31B
KMB,Kimberly-Clark Corporation,33.95B,102.29,0.74%,16.56B
ROP,"Roper Technologies, Inc.",33.80B,334.97,0.68%,8.12B
LVS,Las Vegas Sands Corp.,33.57B,50.67,0.12%,13.74B
ZTS,Zoetis Inc.,33.36B,79.57,-2.25%,9.53B
EXR,Extra Space Storage Inc.,33.23B,150.60,0.23%,3.48B
CASY,"Casey's General Stores, Inc.",33.08B,895.14,-2.31%,17.56B
HAL,Halliburton Company,33.08B,39.60,-0.40%,22.17B
SATS,EchoStar Corporation,33.06B,114.08,-10.97%,14.80B
EQT,EQT Corporation,32.49B,51.94,1.45%,9.36B
EL,The Estée Lauder Companies Inc.,32.45B,89.68,1.89%,14.83B
WDAY,"Workday, Inc.",32.30B,130.80,0.21%,9.85B
NTRS,Northern Trust Corporation,32.26B,174.34,2.10%,8.36B
CNC,Centene Corporation,32.19B,65.19,2.60%,178.33B
ACGL,Arch Capital Group Ltd.,31.90B,91.66,0.58%,19.78B
NTAP,"NetApp, Inc.",31.66B,161.61,0.71%,6.93B
Q,"Qnity Electronics, Inc.",31.54B,150.65,1.03%,4.95B
VICI,VICI Properties Inc.,31.17B,28.52,1.53%,4.04B
CBOE,"Cboe Global Markets, Inc.",30.86B,294.91,-0.33%,4.79B
DTE,DTE Energy Company,30.67B,147.42,1.12%,16.52B
IQV,IQVIA Holdings Inc.,30.29B,181.46,0.22%,16.63B
AEE,Ameren Corporation,30.17B,109.00,0.69%,8.55B
RJF,"Raymond James Financial, Inc.",30.09B,154.40,2.65%,14.72B
TPR,"Tapestry, Inc.",29.79B,147.42,1.40%,7.85B
GEHC,GE HealthCare Technologies Inc.,29.65B,65.18,1.04%,20.98B
BIIB,Biogen Inc.,29.53B,200.05,0.05%,9.94B
DOV,Dover Corporation,29.28B,217.43,-0.50%,8.28B
DXCM,"DexCom, Inc.",29.08B,75.37,0.16%,4.82B
TDY,Teledyne Technologies Incorporated,29.00B,626.02,0.37%,6.23B
IR,Ingersoll Rand Inc.,28.96B,74.00,1.09%,7.78B
KHC,The Kraft Heinz Company,28.92B,24.39,0.70%,24.99B
FSLR,"First Solar, Inc.",28.72B,267.31,-1.42%,5.42B
FISV,"Fiserv, Inc.",28.68B,53.78,1.36%,21.09B
CFG,"Citizens Financial Group, Inc.",28.61B,67.65,1.71%,7.89B
CPRT,"Copart, Inc.",28.47B,30.75,-1.00%,4.64B
ATO,Atmos Energy Corporation,28.37B,169.96,1.03%,4.88B
RMD,ResMed Inc.,28.13B,194.78,1.24%,5.54B
EIX,Edison International,28.07B,72.95,0.84%,19.61B
CNP,"CenterPoint Energy, Inc.",28.06B,42.90,0.82%,9.41B
FOXA,Fox Corporation,27.67B,65.85,-3.59%,16.20B
FICO,Fair Isaac Corporation,27.35B,"1,179.19",-0.52%,2.26B
JBHT,"J.B. Hunt Transport Services, Inc.",27.29B,289.36,0.08%,12.13B
FE,FirstEnergy Corp.,27.20B,47.03,0.77%,15.34B
FOX,Fox Corporation,27.17B,58.92,-3.98%,16.20B
OTIS,Otis Worldwide Corporation,27.15B,70.75,0.88%,14.65B
EXPE,"Expedia Group, Inc.",26.99B,224.89,0.10%,15.17B
PPL,PPL Corporation,26.97B,35.85,1.10%,9.31B
AVB,"AvalonBay Communities, Inc.",26.70B,187.03,1.45%,3.06B
WRB,W. R. Berkley Corporation,26.60B,68.27,1.08%,14.85B
PPG,"PPG Industries, Inc.",26.60B,119.34,0.93%,16.12B
NRG,"NRG Energy, Inc.",26.47B,125.47,1.43%,32.38B
WSM,"Williams-Sonoma, Inc.",26.32B,223.54,2.19%,7.88B
XYL,Xylem Inc.,26.17B,110.08,0.94%,9.09B
CINF,Cincinnati Financial Corporation,26.14B,169.01,0.42%,12.93B
TPL,Texas Pacific Land Corporation,26.14B,378.91,2.53%,839.03M
EQR,Equity Residential,25.86B,67.34,1.04%,3.11B
ES,Eversource Energy,25.83B,68.69,0.38%,13.93B
VRSN,"VeriSign, Inc.",25.50B,279.89,0.11%,1.68B
STZ,"Constellation Brands, Inc.",25.46B,148.51,3.77%,9.14B
DG,Dollar General Corporation,25.32B,114.80,0.40%,43.08B
HUBB,Hubbell Incorporated,25.20B,476.89,1.61%,6.00B
RF,Regions Financial Corporation,24.98B,29.27,1.32%,7.18B
WTW,Willis Towers Watson Public Limited Company,24.80B,262.63,0.71%,9.90B
CTSH,Cognizant Technology Solutions Corporation,24.72B,52.17,1.93%,21.41B
SYF,Synchrony Financial,24.68B,73.36,1.42%,9.89B
BG,Bunge Global SA,24.67B,127.17,1.51%,80.55B
AWK,"American Water Works Company, Inc.",24.67B,126.31,1.49%,5.21B
KEY,KeyCorp,24.50B,22.70,1.66%,7.20B
DOW,Dow Inc.,24.40B,33.85,0.65%,39.33B
DRI,"Darden Restaurants, Inc.",24.22B,211.47,0.30%,12.76B
VRSK,"Verisk Analytics, Inc.",24.08B,183.80,0.99%,3.10B
RL,Ralph Lauren Corporation,24.04B,403.98,2.72%,8.11B
PFG,"Principal Financial Group, Inc.",24.00B,111.12,1.30%,15.46B
TROW,"T. Rowe Price Group, Inc.",23.49B,109.64,1.27%,7.41B
PHM,"PulteGroup, Inc.",23.46B,123.17,-0.67%,16.83B
CPAY,"Corpay, Inc.",23.28B,356.11,1.50%,4.78B
WST,"West Pharmaceutical Services, Inc.",23.23B,328.82,-0.46%,3.22B
CHD,"Church & Dwight Co., Inc.",23.12B,97.56,0.49%,6.21B
HPQ,HP Inc.,23.08B,25.24,2.27%,57.42B
MTD,Mettler-Toledo International Inc.,22.86B,"1,131.49",-0.86%,4.09B
CHRW,"C.H. Robinson Worldwide, Inc.",22.84B,193.74,1.38%,16.20B
CMS,CMS Energy Corporation,22.73B,73.57,0.99%,8.82B
ROL,"Rollins, Inc.",22.72B,47.19,0.30%,3.84B
